message,attributes,tags,timestamp
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:57.136191301Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:57.136197013Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:57.136202776Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:58.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:01.593940201Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:01.593945571Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:01.593951147Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:02.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:04.794317911Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:04.794323551Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:04.808685818Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:06.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:08.663192723Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:08.663211211Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:08.671733029Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:09.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:12.563109703Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:12.563120519Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:12.563130757Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:13.000000000Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:16.471745188Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:16.471762645Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:16.471928494Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:17.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:19.866766205Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:19.866775115Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:19.866781682Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:21.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:23.911163520Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:23.911171205Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:23.911179737Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:24.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:28.214342236Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:28.214348314Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:31:28.214354074Z
